Entity Name,Entity Type code,Pharmacy Entity,Pharmacy Entity Type,Sub Client?,Category,Channel,Rule Type,Ruleset/Rulegroup name,Enrolment effective date,Enrolment end date,PC/MAC ruleset,Druglist Name,DRUGLIST ID,Days Supply,DAW,MNOY,Additional Attributes,Unit Pricing Type,Pricing Type,Brand,Generic,MAC %,Pricing Control,Compound Indicator,U&C Exclusion,MAC Id,Rule Effective date,Rule End date,User,User Timestamp
P7VA,CA,0946,Chain,N,Lower Standard,Retail,MAC,,,,,ALL,ALL,ALL,,,,,,,,,,,,ENONE,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,0946,Chain,N,Lower Standard,Retail,PRICING CONTROL,,,,,ALL,ALL,ALL,,,,,,,,,D-NO BILL NO REMIT,4-PASS THRU,0-NO,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Mail,MAC,,,,,ALL,ALL,ALL,,,,,,,,,,,,CMDHD,08/01/2021,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Mail,PRICING CONTROL,,,,,ALL,ALL,0-45,,,,,,,,,B-PAY AS BILLED,3-FULL AWP,1-YES,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Mail,PRICING CONTROL,,,,,ALL,ALL,46-999,,,,,,,,,B-PAY AS BILLED,3-FULL AWP,1-YES,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Mail,Pricing,,,,,ALL,ALL,0-45,"0,1,2,3,4,5,6,7,8,9",,,ACQ,%,88.0000,88.0000,100.0,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Mail,Pricing,,,,,ALL,ALL,46-999,"0,1,2,3,4,5,6,7,8,9",,,ACQ,%,91.0400,91.0400,100.0,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Mail,Profee,,,,,ALL,ALL,0-45,"0,1,2,3,4,5,6,7,8,9",,,,$,0.0000,0.0000,,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Mail,Profee,,,,,ALL,ALL,46-999,"0,1,2,3,4,5,6,7,8,9",,,,$,0.0000,0.0000,,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Retail,MAC,,,,,ALL,ALL,ALL,,,,,,,,,,,,ENONE,08/01/2021,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Retail,PRICING CONTROL,,,,,ALL,ALL,0-34,,,,,,,,,O-PASS THRU,4-PASS THRU,0-NO,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Retail,PRICING CONTROL,,,,,ALL,ALL,35-999,,,,,,,,,O-PASS THRU,4-PASS THRU,0-NO,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Specialty,MAC,,,,,ALL,ALL,ALL,,,,,,,,,,,,CMDHD,08/01/2021,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Specialty,PRICING CONTROL,,,,,ALL,ALL,ALL,,,,,,,,,M-M LOGIC,3-FULL AWP,0-NO,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Specialty,Pricing,,,,,ALL,ALL,0-45,"0,1,2,3,4,5,6,7,8,9",,,ACQ,%,88.0000,88.0000,100.0,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Specialty,Pricing,,,,,ALL,ALL,46-999,"0,1,2,3,4,5,6,7,8,9",,,ACQ,%,91.0400,91.0400,100.0,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Specialty,Profee,,,,,ALL,ALL,0-45,"0,1,2,3,4,5,6,7,8,9",,,,$,0.0000,0.0000,,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,N,Standard,Specialty,Profee,,,,,ALL,ALL,46-999,"0,1,2,3,4,5,6,7,8,9",,,,$,0.0000,0.0000,,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,0946,Chain,Y,Lower Standard,Retail,MAC,,,,,ALL,ALL,ALL,,,,,,,,,,,,ENONE,08/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,0946,Chain,Y,Lower Standard,Retail,PRICING CONTROL,,,,,ALL,ALL,ALL,,,,,,,,,D-NO BILL NO REMIT,4-PASS THRU,0-NO,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Mail,MAC,,,,,ALL,ALL,ALL,,,,,,,,,,,,CMDHD,08/01/2021,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Mail,PRICING CONTROL,,,,,ALL,ALL,0-45,,,,,,,,,B-PAY AS BILLED,3-FULL AWP,1-YES,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Mail,PRICING CONTROL,,,,,ALL,ALL,46-999,,,,,,,,,B-PAY AS BILLED,3-FULL AWP,1-YES,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Mail,Pricing,,,,,ALL,ALL,0-45,"0,1,2,3,4,5,6,7,8,9",,,ACQ,%,88.0000,88.0000,100.0,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Mail,Pricing,,,,,ALL,ALL,46-999,"0,1,2,3,4,5,6,7,8,9",,,ACQ,%,91.0400,91.0400,100.0,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Mail,Profee,,,,,ALL,ALL,0-45,"0,1,2,3,4,5,6,7,8,9",,,,$,0.0000,0.0000,,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Mail,Profee,,,,,ALL,ALL,46-999,"0,1,2,3,4,5,6,7,8,9",,,,$,0.0000,0.0000,,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Retail,MAC,,,,,ALL,ALL,ALL,,,,,,,,,,,,ENONE,08/01/2021,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Retail,PRICING CONTROL,,,,,ALL,ALL,0-34,,,,,,,,,O-PASS THRU,4-PASS THRU,0-NO,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Retail,PRICING CONTROL,,,,,ALL,ALL,35-999,,,,,,,,,O-PASS THRU,4-PASS THRU,0-NO,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Specialty,MAC,,,,,ALL,ALL,ALL,,,,,,,,,,,,CMDHD,08/01/2021,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Specialty,PRICING CONTROL,,,,,ALL,ALL,ALL,,,,,,,,,M-M LOGIC,3-FULL AWP,0-NO,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Specialty,Pricing,,,,,ALL,ALL,0-45,"0,1,2,3,4,5,6,7,8,9",,,ACQ,%,88.0000,88.0000,100.0,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Specialty,Pricing,,,,,ALL,ALL,46-999,"0,1,2,3,4,5,6,7,8,9",,,ACQ,%,91.0400,91.0400,100.0,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Specialty,Profee,,,,,ALL,ALL,0-45,"0,1,2,3,4,5,6,7,8,9",,,,$,0.0000,0.0000,,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
P7VA,CA,ALL PHARMACIES,,Y,Standard,Specialty,Profee,,,,,ALL,ALL,46-999,"0,1,2,3,4,5,6,7,8,9",,,,$,0.0000,0.0000,,,,,,01/01/2023,12/31/2999,AB1234,01/09/2023 10:08 AM
